               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.040126,            0.097757,                   0,             0.98041,             0.95181,             0.98874,             0.71819,            0.031585,            0.060654,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.039951,            0.096889,                   0,              0.9764,             0.95135,             0.98864,             0.71164,             0.03175,             0.06043,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.039581,            0.091183,                   0,             0.97728,             0.95273,             0.98868,             0.71991,            0.031479,            0.060209,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.039577,            0.095023,                   0,             0.97935,             0.95439,             0.98923,             0.71323,            0.031989,            0.060303,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.039544,            0.091584,                   0,             0.97765,             0.95287,              0.9892,             0.71802,            0.031549,            0.060464,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.039104,            0.091553,                   0,             0.98189,             0.95962,             0.98998,              0.7165,            0.031471,            0.059977,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.037373,            0.091759,                   0,             0.98196,             0.96003,             0.98998,             0.71513,             0.03164,            0.059869,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.038026,            0.098329,                   0,             0.98044,             0.96045,             0.99001,             0.72044,            0.031365,            0.059976,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.039037,             0.08845,                   0,             0.98031,             0.96169,             0.98978,             0.72125,              0.0313,            0.059808,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.038147,            0.088806,                   0,             0.98069,             0.95884,             0.98962,             0.71999,             0.03139,            0.059905,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.038577,            0.095247,                   0,             0.97813,             0.96003,                0.99,              0.7216,            0.031275,            0.059908,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.038523,            0.093838,                   0,             0.97947,             0.96008,             0.98992,             0.72057,             0.03131,            0.059857,                   0,             0.00307,             0.00307,             0.00307
                 107,             0.03944,            0.096523,                   0,              0.9796,             0.95977,             0.98996,             0.72702,            0.031052,            0.059562,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.038526,            0.093318,                   0,             0.97958,             0.95885,             0.98997,             0.72634,            0.031053,             0.05938,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.040343,            0.095933,                   0,             0.97851,               0.961,             0.99003,             0.72318,            0.031192,            0.059542,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.038734,            0.090731,                   0,             0.98076,             0.96243,             0.99013,             0.72646,            0.031003,            0.059349,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.038119,            0.092275,                   0,             0.97722,             0.96364,             0.99026,             0.72957,            0.030928,            0.059253,                   0,             0.00274,             0.00274,             0.00274
                 112,             0.03928,            0.094646,                   0,              0.9811,             0.95842,             0.99033,              0.7277,            0.030955,            0.059243,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.037762,            0.089659,                   0,             0.97861,             0.96086,             0.99022,             0.73028,            0.030877,            0.059052,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.038611,            0.096064,                   0,             0.97896,             0.96251,             0.99045,             0.73086,            0.030785,            0.058746,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.037293,            0.089212,                   0,             0.97904,             0.95908,             0.98995,             0.73222,            0.030756,            0.058663,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.038865,            0.090261,                   0,             0.97944,             0.95841,             0.99003,             0.73109,            0.030749,            0.058739,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.038561,            0.088165,                   0,             0.98113,             0.96058,             0.99043,             0.72995,            0.030771,            0.058668,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.038146,            0.088749,                   0,             0.98102,             0.96153,              0.9906,             0.73425,            0.030713,            0.058625,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.038309,            0.092228,                   0,             0.97736,             0.96238,             0.99045,             0.73244,            0.030659,            0.058424,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.038253,            0.092279,                   0,              0.9788,              0.9621,             0.99064,             0.73677,            0.030506,            0.058247,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.038632,            0.099194,                   0,             0.98128,             0.96102,             0.99069,             0.73555,            0.030632,            0.058482,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.038249,            0.092924,                   0,             0.97989,             0.96048,             0.99063,             0.73612,            0.030598,            0.058464,                   0,            0.002014,            0.002014,            0.002014
