               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.040385,            0.093354,                   0,             0.97505,             0.95856,             0.98926,             0.70653,            0.032301,            0.061632,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.040364,             0.10581,                   0,             0.97362,             0.95617,             0.98902,             0.70452,            0.032261,            0.061513,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.040722,             0.09924,                   0,             0.97755,             0.95686,             0.98912,             0.70221,            0.032354,            0.061309,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.040225,             0.09623,                   0,             0.97594,             0.95045,             0.98773,             0.70505,            0.032256,            0.061432,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.039806,            0.096101,                   0,             0.97314,             0.95273,             0.98828,             0.70627,            0.032278,            0.061565,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.039311,            0.096027,                   0,             0.97417,             0.94859,             0.98835,             0.71183,            0.031947,             0.06106,                   0,            0.004126,            0.004126,            0.004126
                  91,             0.03957,            0.095571,                   0,             0.97661,              0.9519,             0.98868,             0.71133,             0.03199,            0.061185,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.040051,            0.099436,                   0,             0.97447,             0.95195,             0.98844,             0.71039,            0.031949,            0.061131,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.039129,            0.095135,                   0,             0.97641,             0.94685,             0.98767,             0.70505,            0.032201,            0.061084,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.040154,            0.096364,                   0,             0.97485,             0.95383,             0.98904,              0.7031,            0.032236,            0.060913,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.040429,             0.09844,                   0,             0.97871,             0.95646,             0.98935,             0.71335,            0.031712,             0.06068,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.040075,            0.097563,                   0,             0.97852,             0.95562,             0.98942,             0.71349,            0.031747,            0.060485,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.039991,            0.092012,                   0,             0.97987,             0.95252,             0.98895,              0.7148,            0.031752,            0.060542,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.039566,            0.094853,                   0,             0.97799,             0.95645,             0.98907,             0.70763,            0.032256,            0.060678,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.039732,            0.091722,                   0,             0.97978,              0.9581,             0.98956,             0.72008,            0.031415,            0.060126,                   0,            0.003532,            0.003532,            0.003532
                 100,             0.03924,            0.091711,                   0,             0.97945,             0.95898,             0.98978,             0.71832,            0.031413,            0.059867,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.037371,             0.09227,                   0,             0.97821,             0.96031,             0.98963,              0.7161,             0.03141,            0.059789,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.038639,            0.099359,                   0,             0.97828,             0.96229,             0.99015,             0.71738,             0.03144,            0.060105,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.039312,             0.08877,                   0,             0.97681,             0.96182,             0.98987,             0.71854,            0.031372,            0.060033,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.038349,            0.089389,                   0,             0.97822,             0.95927,             0.98982,             0.71958,            0.031415,            0.059955,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.038438,            0.094871,                   0,             0.97956,             0.95921,             0.99003,             0.72046,            0.031243,            0.059689,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.038761,            0.094408,                   0,             0.98001,             0.95953,             0.99023,             0.71846,            0.031411,            0.059732,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.039536,            0.096876,                   0,             0.97656,             0.95894,             0.98988,             0.72547,            0.031078,            0.059391,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.038726,            0.093901,                   0,             0.97701,             0.96127,             0.99002,             0.72297,            0.031139,            0.059451,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.040514,            0.096258,                   0,              0.9762,             0.96307,             0.99021,             0.72529,             0.03104,            0.059332,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.038952,            0.090552,                   0,             0.97759,             0.96141,             0.99017,             0.72773,            0.030968,            0.059109,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.038145,            0.092706,                   0,             0.97725,             0.96072,             0.99015,             0.72812,            0.030962,            0.059122,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.039831,             0.09574,                   0,             0.97869,             0.95921,             0.99012,             0.72613,            0.031031,            0.059121,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.037754,            0.089793,                   0,              0.9788,             0.95562,             0.98987,             0.72865,            0.030861,            0.058891,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.038936,            0.097296,                   0,             0.97819,             0.95838,              0.9903,             0.72843,            0.030875,            0.058784,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.037557,            0.089948,                   0,             0.97885,             0.95673,             0.99023,             0.72735,            0.030865,            0.058735,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.039088,            0.090422,                   0,             0.98071,             0.95981,             0.99037,             0.72839,            0.030819,            0.058813,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.038939,             0.08947,                   0,              0.9777,             0.96066,             0.99041,             0.72698,            0.030876,            0.058858,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.038266,            0.089076,                   0,             0.97932,             0.95945,             0.99038,             0.72833,            0.030839,            0.058672,                   0,            0.002278,            0.002278,            0.002278
